U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
0.37355,7.95753e-15,0,1073.48,1,38.4,-61.6,0,0.5,192
0.373568,9.31833e-15,0,1073.39,1,38.6,-61.4,0,0.5,193
0.373586,1.06791e-14,0,1073.29,1,38.8,-61.2,0,0.5,194
0.373604,1.204e-14,0,1073.19,1,39,-61,0,0.5,195
0.373621,1.34008e-14,0,1073.1,1,39.2,-60.8,0,0.5,196
0.373639,1.47616e-14,0,1073,1,39.4,-60.6,0,0.5,197
0.373657,1.61224e-14,0,1072.91,1,39.6,-60.4,0,0.5,198
0.373674,1.74832e-14,0,1072.81,1,39.8,-60.2,0,0.5,199
0.373692,1.8844e-14,0,1072.72,1,40,-60,0,0.5,200
0.37371,2.02049e-14,0,1072.62,1,40.2,-59.8,0,0.5,201
0.373727,2.15657e-14,0,1072.53,1,40.4,-59.6,0,0.5,202
0.373745,2.29265e-14,0,1072.43,1,40.6,-59.4,0,0.5,203
0.373763,2.42873e-14,0,1072.34,1,40.8,-59.2,0,0.5,204
0.37378,2.56481e-14,0,1072.24,1,41,-59,0,0.5,205
0.373798,2.70089e-14,0,1072.14,1,41.2,-58.8,0,0.5,206
0.373816,2.83697e-14,0,1072.05,1,41.4,-58.6,0,0.5,207
0.373799,2.57994e-14,0,1071.96,1,41.6,-58.4,0,0.5,208
0.373781,2.30729e-14,0,1071.87,1,41.8,-58.2,0,0.5,209
0.373763,2.03463e-14,0,1071.78,1,42,-58,0,0.5,210
0.373745,1.76198e-14,0,1071.69,1,42.2,-57.8,0,0.5,211
0.373727,1.48933e-14,0,1071.61,1,42.4,-57.6,0,0.5,212
0.373709,1.21669e-14,0,1071.52,1,42.6,-57.4,0,0.5,213
0.37369,9.44037e-15,0,1071.43,1,42.8,-57.2,0,0.5,214
0.373672,6.71386e-15,0,1071.34,1,43,-57,0,0.5,215
0.373654,3.98735e-15,0,1071.25,1,43.2,-56.8,0,0.5,216
0.373636,1.26084e-15,0,1071.16,1,43.4,-56.6,0,0.5,217
0.373618,-1.46562e-15,0,1071.07,1,43.6,-56.4,0,0.5,218
0.3736,-4.19212e-15,0,1070.99,1,43.8,-56.2,0,0.5,219
0.373582,-6.91863e-15,0,1070.9,1,44,-56,0,0.5,220
0.373564,-9.64514e-15,0,1070.81,1,44.2,-55.8,0,0.5,221
0.373546,-1.23717e-14,0,1070.72,1,44.4,-55.6,0,0.5,222
0.373528,-1.50981e-14,0,1070.63,1,44.6,-55.4,0,0.5,223
0.37351,-1.78246e-14,0,1070.54,1,44.8,-55.2,0,0.5,224
0.373492,-2.05511e-14,0,1070.45,1,45,-55,0,0.5,225
0.373473,-2.32776e-14,0,1070.37,1,45.2,-54.8,0,0.5,226
0.373455,-2.60041e-14,0,1070.28,1,45.4,-54.6,0,0.5,227
0.373437,-2.87306e-14,0,1070.19,1,45.6,-54.4,0,0.5,228
0.373419,-3.14571e-14,0,1070.1,1,45.8,-54.2,0,0.5,229
0.373401,-3.41836e-14,0,1070.01,1,46,-54,0,0.5,230
0.373383,-3.69101e-14,0,1069.92,1,46.2,-53.8,0,0.5,231
0.373365,-3.96366e-14,0,1069.83,1,46.4,-53.6,0,0.5,232
0.373347,-4.23631e-14,0,1069.75,1,46.6,-53.4,0,0.5,233
0.373329,-4.50896e-14,0,1069.66,1,46.8,-53.2,0,0.5,234
0.373311,-4.78161e-14,0,1069.57,1,47,-53,0,0.5,235
0.373293,-5.05426e-14,0,1069.48,1,47.2,-52.8,0,0.5,236
0.373275,-5.32691e-14,0,1069.39,1,47.4,-52.6,0,0.5,237
0.373256,-5.59956e-14,0,1069.3,1,47.6,-52.4,0,0.5,238
0.373238,-5.87221e-14,0,1069.21,1,47.8,-52.2,0,0.5,239
0.37322,-6.14486e-14,0,1069.12,1,48,-52,0,0.5,240
0.373202,-6.41751e-14,0,1069.04,1,48.2,-51.8,0,0.5,241
0.373184,-6.69016e-14,0,1068.95,1,48.4,-51.6,0,0.5,242
0.373166,-6.96281e-14,0,1068.86,1,48.6,-51.4,0,0.5,243
0.373165,-7.00972e-14,0,1068.77,1,48.8,-51.2,0,0.5,244
0.373184,-6.80905e-14,0,1068.67,1,49,-51,0,0.5,245
0.373203,-6.60838e-14,0,1068.58,1,49.2,-50.8,0,0.5,246
0.373222,-6.4077e-14,0,1068.48,1,49.4,-50.6,0,0.5,247
0.37324,-6.20704e-14,0,1068.39,1,49.6,-50.4,0,0.5,248
0.373259,-6.00636e-14,0,1068.29,1,49.8,-50.2,0,0.5,249
0.373278,-5.80569e-14,0,1068.2,1,50,-50,0,0.5,250
0.373296,-5.60502e-14,0,1068.1,1,50.2,-49.8,0,0.5,251
0.373315,-5.40434e-14,0,1068.01,1,50.4,-49.6,0,0.5,252
0.373334,-5.20367e-14,0,1067.92,1,50.6,-49.4,0,0.5,253
0.373352,-5.003e-14,0,1067.82,1,50.8,-49.2,0,0.5,254
0.373371,-4.80233e-14,0,1067.73,1,51,-49,0,0.5,255
0.37339,-4.60165e-14,0,1067.63,1,51.2,-48.8,0,0.5,256
0.373408,-4.40098e-14,0,1067.54,1,51.4,-48.6,0,0.5,257
0.373427,-4.20031e-14,0,1067.44,1,51.6,-48.4,0,0.5,258
0.373446,-3.99964e-14,0,1067.35,1,51.8,-48.2,0,0.5,259
0.373464,-3.79897e-14,0,1067.25,1,52,-48,0,0.5,260
0.373483,-3.59829e-14,0,1067.16,1,52.2,-47.8,0,0.5,261
0.373502,-3.39762e-14,0,1067.06,1,52.4,-47.6,0,0.5,262
0.373521,-3.19695e-14,0,1066.97,1,52.6,-47.4,0,0.5,263
0.373539,-2.99628e-14,0,1066.87,1,52.8,-47.2,0,0.5,264
0.373558,-2.7956e-14,0,1066.78,1,53,-47,0,0.5,265
0.373577,-2.59493e-14,0,1066.68,1,53.2,-46.8,0,0.5,266
0.373595,-2.39426e-14,0,1066.59,1,53.4,-46.6,0,0.5,267
0.373614,-2.19359e-14,0,1066.49,1,53.6,-46.4,0,0.5,268
0.373633,-1.99292e-14,0,1066.4,1,53.8,-46.2,0,0.5,269
0.373651,-1.79224e-14,0,1066.3,1,54,-46,0,0.5,270
0.37367,-1.59157e-14,0,1066.21,1,54.2,-45.8,0,0.5,271
0.373689,-1.3909e-14,0,1066.12,1,54.4,-45.6,0,0.5,272
