p,U:0,U:1,U:2,IntegrationTime,Vorticity:0,Vorticity:1,Vorticity:2,Rotation,AngularVelocity,Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,Point ID
1054.13,-0.000572518,-0.00300458,0,796.619,0,0,-0.00272047,-5.9039e-18,-0,-5.47647e-08,1.04622e-08,-1,-0.284805,-3.19051,0.5,50
1054.04,-0.000828109,-0.00274802,0,832.288,0,0,-0.00121059,-5.9039e-18,-0,-5.34161e-08,1.59795e-08,-1,-0.310475,-3.29649,0.5,51
1054,-0.00104649,-0.00246813,0,860.775,0,0,-0.00383207,-5.9039e-18,-0,-5.11129e-08,2.22733e-08,-1,-0.338015,-3.37343,0.5,52
1053.95,-0.00132196,-0.00210147,0,894.2,0,0,-0.00254127,-5.9039e-18,-0,-4.68451e-08,3.02351e-08,-1,-0.379204,-3.4529,0.5,53
1053.91,-0.00165677,-0.00167244,0,933.633,0,0,-0.00309144,-5.9039e-18,-0,-4.04072e-08,3.84172e-08,-1,-0.439731,-3.52959,0.5,54
1053.89,-0.00186936,-0.00141479,0,959.509,0,0,-0.00294532,-5.9039e-18,-0,-3.3444e-08,4.46108e-08,-1,-0.485546,-3.56966,0.5,55
1053.86,-0.00208437,-0.00111473,0,988.235,3.65976e-19,1.77308e-19,-0.00278881,-1.174e-17,-4.06341e-19,-2.68038e-08,4.88894e-08,-1,-0.542256,-3.60585,0.5,56
1053.83,-0.00223361,-0.000892887,0,1011.38,0,0,-0.00387829,-1.64424e-17,-0,-2.07934e-08,5.17326e-08,-1,-0.591845,-3.6289,0.5,57
1053.81,-0.00233812,-0.000674245,0,1033.32,0,0,-0.00403663,-1.64424e-17,-0,-1.48885e-08,5.37304e-08,-1,-0.641752,-3.64595,0.5,58
1053.76,-0.00244498,-0.000353612,0,1067.67,0,0,-0.00537524,-1.64424e-17,-0,-8.43631e-09,5.51131e-08,-1,-0.72342,-3.66347,0.5,59
1053.72,-0.00244739,-9.8561e-05,0,1094.58,0,0,-0.0066999,-1.64424e-17,-0,-2.19582e-09,5.57118e-08,-1,-0.789597,-3.66961,0.5,60
1053.68,-0.00235403,0.000165801,0,1120.35,0,0,-0.0078682,-1.64424e-17,0,4.29803e-09,5.55891e-08,-1,-0.85268,-3.66874,0.5,61
1053.64,-0.00210614,0.000474291,0,1146.53,0,0,-0.00971791,-1.64424e-17,0,1.1798e-08,5.44925e-08,-1,-0.913794,-3.66009,0.5,62
1053.61,-0.00189977,0.000708349,0,1164.56,0,0,-0.0108502,-1.64424e-17,0,2.37943e-08,5.04228e-08,-1,-0.951102,-3.64913,0.5,63
1053.58,-0.00111773,0.00138171,0,1205.28,0,0,-0.0140083,-1.64424e-17,0,4.12087e-08,4.04043e-08,-1,-1.01862,-3.60334,0.5,64
1053.57,-0.000818874,0.00163393,0,1217.76,0,0,-0.0187819,-1.64424e-17,0,5.30777e-08,2.71197e-08,-1,-1.03067,-3.58478,0.5,65
1053.57,-0.000532492,0.00187429,0,1228.7,0,0,-0.0195656,-1.64424e-17,0,5.79643e-08,1.38874e-08,-1,-1.03787,-3.56615,0.5,66
1053.58,9.97222e-05,0.00240724,0,1253.4,0,0,-0.0211489,-1.64424e-17,0,5.96044e-08,1.87439e-10,-1,-1.04274,-3.51847,0.5,67
1053.59,0.000407698,0.00266472,0,1262.51,0,0,-0.0260345,-1.64424e-17,0,6.07774e-08,-8.99254e-09,-1,-1.04065,-3.49664,0.5,68
1053.6,0.00071355,0.00291849,0,1270.69,0,0,-0.0266175,-1.64424e-17,0,6.11128e-08,-1.61872e-08,-1,-1.03631,-3.47505,0.5,69
1053.63,0.00139406,0.00347359,0,1290.93,0,0,-0.0279065,-1.64424e-17,0,5.90377e-08,-2.26131e-08,-1,-1.01721,-3.41734,0.5,70
