p,U:0,U:1,U:2,IntegrationTime,Vorticity:0,Vorticity:1,Vorticity:2,Rotation,AngularVelocity,Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,Point ID
1047.83,0.0019077,0.00392679,0,346.382,0,0,-0.0334349,2.63252e-17,0,2.36788e-17,-1.15036e-17,-1,-1.01673,-3.38706,0.5,17
1047.88,0.00255769,0.00448349,0,362.022,0,0,-0.0344434,2.63252e-17,0,2.28662e-17,-1.30444e-17,-1,-0.984641,-3.3268,0.5,18
1047.92,0.00291108,0.0047743,0,373.045,0,0,-0.0351424,2.63252e-17,0,2.24765e-17,-1.37049e-17,-1,-0.955668,-3.27784,0.5,19
1048.04,0.00388164,0.00552288,0,399.632,0,0,-0.0413936,2.63252e-17,0,2.15378e-17,-1.51374e-17,-1,-0.873485,-3.15398,0.5,20
1048.09,0.00411204,0.00562931,0,408.388,0,0,-0.0458764,2.63252e-17,0,1.20282e-08,-8.79589e-09,-1,-0.83909,-3.10591,0.5,21
1048.19,0.00444965,0.0058538,0,423.505,0,0,-0.0471353,2.63252e-17,0,1.67805e-08,-1.27477e-08,-1,-0.776006,-3.0215,0.5,22
1048.25,0.00451706,0.00573132,0,432.232,0,0,-0.0461911,2.63252e-17,0,1.65705e-08,-1.30196e-08,-1,-0.736785,-2.9707,0.5,23
1048.3,0.00446508,0.00550681,0,438.344,0,0,-0.0467395,2.63252e-17,0,1.64002e-08,-1.32334e-08,-1,-0.708937,-2.93587,0.5,24
1048.36,0.00436882,0.00536794,0,445.88,0,0,-0.0504682,2.63252e-17,0,1.63105e-08,-1.33438e-08,-1,-0.675197,-2.89444,0.5,25
1048.42,0.00433164,0.00521779,0,453.441,0,0,-0.0481223,2.63252e-17,0,1.61945e-08,-1.34844e-08,-1,-0.641975,-2.85402,0.5,26
1048.51,0.00404223,0.00470635,0,464.091,0,0,-0.0491976,2.63252e-17,0,1.59529e-08,-1.37694e-08,-1,-0.595403,-2.79881,0.5,27
1048.6,0.00371098,0.00404851,0,475.14,0,0,-0.0448572,2.63252e-17,0,1.54888e-08,-1.42893e-08,-1,-0.550033,-2.74743,0.5,28
1048.68,0.00325421,0.00317381,0,486.61,0,0,-0.045652,2.63252e-17,0,1.4814e-08,-1.49878e-08,-1,-0.506327,-2.70208,0.5,29
1048.76,0.00292604,0.00265413,0,498.701,0,0,-0.0421694,2.63252e-17,0,1.40256e-08,-1.5728e-08,-1,-0.466312,-2.66441,0.5,30
1048.86,0.00248887,0.00189582,0,513.466,0,0,-0.0429511,2.63252e-17,0,1.28586e-08,-1.66957e-08,-1,-0.42176,-2.62679,0.5,31
1048.9,0.0022064,0.00139638,0,521.925,0,0,-0.0359102,2.63252e-17,0,1.12284e-08,-1.78329e-08,-1,-0.400095,-2.6116,0.5,32
